"","Age","G","GS","MP","FG","FGA","FGpct","3P","3PA","3Ppct","2P","2PA","2Ppct","eFG","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PTSZ"
"1",25,31,2,19,1.8,5.1,0.357,1.3,4.1,0.323,0.5,1,0.5,0.487,0.4,0.4,0.923,0.2,1.4,1.5,0.6,0.5,0.2,0.5,1.7,5.3,-0.542286423935437
"2",28,10,0,12.3,0.4,1.8,0.222,0.2,1.5,0.133,0.2,0.3,0.667,0.278,0.7,1,0.7,0.3,2.2,2.5,0.8,0.1,0.4,0.4,2.4,1.7,-1.13144625588443
"3",22,34,1,12.6,1.1,3.2,0.345,0.7,2.2,0.338,0.4,1.1,0.361,0.459,0.2,0.3,0.778,0.3,1.4,1.8,1.9,0.4,0.1,0.8,1.3,3.2,-0.885962992572347
"4",25,80,80,33.4,6,10.1,0.595,0,0,0,6,10.1,0.596,0.595,1.8,3.7,0.5,4.9,4.6,9.5,1.6,1.5,1,1.7,2.6,13.9,0.865150952387146
"5",21,82,28,23.3,3.4,5.9,0.576,0,0.2,0.2,3.4,5.7,0.588,0.579,2,2.8,0.735,2,5.3,7.3,2.2,0.9,0.8,1.5,2.5,8.9,0.0468734080135515
"6",21,19,3,10.2,0.6,1.9,0.306,0.3,1.2,0.261,0.3,0.7,0.385,0.389,0.2,0.2,1,0.2,0.8,1,0.3,0.1,0.2,0.3,0.7,1.7,-1.13144625588443
"7",25,7,0,3.1,0.4,1.4,0.3,0,0.6,0,0.4,0.9,0.5,0.3,0.1,0.3,0.5,0.1,0.4,0.6,0.9,0.3,0,0.3,0.6,1,-1.24600511209673
"8",33,81,81,33.2,8.4,16.3,0.519,0.1,0.5,0.238,8.3,15.8,0.528,0.522,4.3,5.1,0.847,3.1,6.1,9.2,2.4,0.5,1.3,1.8,2.2,21.3,2.07620171806007
"9",21,10,1,12,1.3,3.9,0.333,0.3,1.2,0.25,1,2.7,0.37,0.372,0.8,1.2,0.667,1.1,1.5,2.6,1.3,0.1,0,0.8,0.7,3.7,-0.804135238134987
"10",23,38,2,10.9,1.8,4.7,0.376,0.8,2.6,0.323,0.9,2.1,0.443,0.466,1.2,1.6,0.75,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6,-0.493189771273021
"11",20,80,80,26.2,4.2,7.1,0.59,0.1,0.6,0.133,4.1,6.5,0.629,0.595,2.5,3.5,0.709,2.4,6,8.4,1.4,0.5,1.5,1.3,2.3,10.9,0.374184425762989
"12",26,19,1,21.9,3.4,7.4,0.461,0.9,1.9,0.472,2.5,5.5,0.457,0.521,2.2,2.8,0.778,0.4,2.3,2.7,4,0.8,0.2,1.4,2.4,9.9,0.21052891688827
"13",28,81,81,28.3,3.2,7.3,0.433,1.2,3.5,0.343,2,3.9,0.514,0.514,1.9,2.1,0.867,1.4,6.1,7.5,1.3,0.8,0.4,0.9,1.8,9.4,0.128701162450911
"14",25,48,4,9.6,1.3,3.3,0.408,0.5,1.6,0.312,0.8,1.7,0.5,0.484,0.5,0.7,0.743,0.5,1.3,1.8,0.5,0.5,0.3,0.5,1,3.7,-0.804135238134987
"15",25,43,40,29.8,3.5,6.4,0.543,0.2,0.8,0.265,3.3,5.6,0.583,0.56,0.9,1.5,0.578,1.1,4.7,5.8,3,1.3,0.9,1.3,2.6,8,-0.100416549973696
"16",20,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.3,0.7,1,0.3,0,0.3,0.3,0,0,-1.40966062097145
"17",24,72,72,32.8,10,17.3,0.578,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,3.12359697485827
"18",21,2,0,5.5,0,1.5,0,0,0,0,0,1.5,0,0,1,2,0.5,0,0.5,0.5,0,1,0,0.5,0,1,-1.24600511209673
"19",34,10,2,29.4,4.9,12.1,0.405,2.1,6.4,0.328,2.8,5.7,0.491,0.492,1.5,2.2,0.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4,0.783323197949787
"20",21,67,6,20.2,2.7,6,0.453,1,3,0.332,1.7,3,0.574,0.536,0.5,0.9,0.581,0.9,2.1,2.9,0.7,0.7,0.3,0.8,2.1,7,-0.264072058848415
"21",24,81,32,24.2,2.3,5.2,0.447,1,2.7,0.373,1.3,2.5,0.527,0.544,1.1,1.3,0.873,0.3,2.4,2.7,3.3,0.8,0,0.8,2.1,6.7,-0.31316871151083
"22",31,81,81,28,3.9,8.4,0.47,1.6,3.8,0.421,2.3,4.5,0.511,0.566,2.2,2.6,0.866,0.5,2,2.5,5.3,0.6,0,1.6,1.4,11.7,0.505108832862764
"23",20,71,70,30.7,7.2,12.3,0.585,0,0.1,0,7.2,12.2,0.588,0.585,2,2.7,0.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3,1.25792417368647
"24",23,43,13,17.7,2.8,6,0.475,0.9,2,0.437,2,4,0.494,0.549,0.8,1.1,0.739,0.2,1.9,2.1,1.1,0.3,0.1,0.4,1.7,7.3,-0.214975406185999
"25",19,62,4,25.3,5.7,11.4,0.504,0.5,1.5,0.313,5.3,9.8,0.534,0.525,2.9,4.2,0.691,2.6,5,7.6,1,0.5,1,1.6,1.9,14.9,1.02880646126187
"26",22,16,0,5.9,0.6,2.1,0.303,0.1,0.6,0.222,0.5,1.5,0.333,0.333,0.5,0.7,0.727,0.1,0.8,0.9,0.8,0.1,0.1,0.9,0.7,1.9,-1.09871515410948
"27",21,47,45,30.3,3.9,9.7,0.406,1.6,4.9,0.329,2.3,4.9,0.482,0.488,0.4,1,0.417,1.1,4.2,5.3,5.4,1.5,0.4,2.2,2.4,9.9,0.21052891688827
"28",20,47,1,16.3,2.5,5.2,0.481,0.4,1.5,0.3,2,3.7,0.555,0.525,0.8,1.3,0.587,1.4,3.6,5,0.8,0.3,1.4,0.9,2.2,6.2,-0.39499646594819
"29",34,38,0,19.8,4.2,10.1,0.418,1,3.4,0.297,3.2,6.8,0.479,0.468,1.4,2.1,0.705,0.3,2.2,2.5,5.6,0.6,0,1.9,1.3,10.9,0.374184425762989
"30",28,43,38,27.7,4.3,10.7,0.402,1.6,4.6,0.342,2.7,6.1,0.447,0.475,1.3,1.7,0.77,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5,0.472377731087821
"31",23,30,3,16.8,2,4.7,0.423,0.4,1.7,0.25,1.6,3,0.522,0.468,0.6,0.9,0.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1,5,-0.591383076597852
"32",30,75,72,31.4,3.4,7.5,0.45,1.5,4,0.389,1.8,3.5,0.519,0.553,1,1.2,0.865,0.9,4.3,5.2,3.3,0.9,0.6,1.6,1.9,9.3,0.112335611563439
"33",30,34,6,19.3,2.4,6.8,0.357,0.9,2.9,0.296,1.6,3.9,0.402,0.42,0.5,0.8,0.571,0.3,1.5,1.8,3.5,0.5,0.1,0.9,1.6,6.1,-0.411362016835662
"34",32,51,18,16.1,2.1,4.4,0.471,0.4,1.2,0.344,1.6,3.2,0.519,0.518,1,1.2,0.855,1.7,3,4.7,1.1,0.2,0.7,0.8,2.5,5.6,-0.493189771273021
"35",29,67,35,24.5,4.1,10.3,0.402,1.4,4.5,0.32,2.7,5.8,0.465,0.472,1.9,2.6,0.726,0.6,3.3,3.9,2.3,1.3,0.6,1.8,2.5,11.6,0.488743281975293
"36",25,82,82,36.9,9.3,19.6,0.475,2.5,7.3,0.351,6.8,12.4,0.548,0.54,4.4,5.5,0.808,1.1,3.9,5,5.5,1.5,0.7,2.7,2.8,25.6,2.77992040622136
"37",22,81,18,23.2,4.3,9.1,0.474,2,5,0.402,2.3,4.1,0.56,0.584,0.7,0.8,0.848,0.4,2,2.5,1.2,0.7,0.1,0.7,1.4,11.3,0.439646629312877
"38",30,26,2,10.7,2.9,5.9,0.49,0.1,0.7,0.176,2.8,5.2,0.529,0.5,1.1,1.5,0.718,0.5,1.8,2.3,1,0.3,0.4,1,1.6,7,-0.264072058848415
"39",32,79,1,23,3.6,8.7,0.413,1.9,5,0.372,1.7,3.7,0.468,0.52,1.4,1.6,0.903,0.2,2.3,2.5,1.7,0.4,0.1,0.9,1.5,10.5,0.308722222213102
"40",24,68,3,11.6,1.5,2.8,0.516,0,0,0,1.5,2.8,0.521,0.516,0.4,0.6,0.61,0.8,1.9,2.7,1.1,0.3,0.8,0.6,1.2,3.3,-0.869597441684875
"41",24,82,15,23.5,3.4,7.5,0.446,0.6,2.1,0.289,2.7,5.4,0.508,0.487,1.1,1.7,0.64,0.7,3.7,4.4,2.5,1.3,0.5,1.7,2.3,8.4,-0.034954346423808
"42",21,46,27,18,1.9,4.3,0.447,0.5,2.2,0.218,1.4,2.1,0.688,0.503,0.7,1.2,0.593,0.7,3.2,4,1.2,0.4,0.5,0.8,2,5,-0.591383076597852
"43",29,12,0,13.9,1,3.9,0.255,0.8,2.8,0.294,0.2,1.1,0.154,0.362,0,0,0,0.2,0.6,0.8,0.8,0.1,0,0.2,0.6,2.8,-0.951425196122234
"44",26,76,12,21.5,2.7,6,0.45,1.9,4.4,0.429,0.8,1.5,0.513,0.61,0.7,0.8,0.883,0.3,3.2,3.5,1.3,0.5,0.4,0.6,1.8,8,-0.100416549973696
"45",30,78,49,27.4,2.5,6.1,0.407,1.4,3.6,0.397,1.1,2.5,0.421,0.524,1.2,1.6,0.78,1,4,5,3.8,0.9,0.6,1.1,3.4,7.6,-0.165878753523583
"46",26,50,1,12.9,1.8,3,0.603,0,0,0,1.8,3,0.607,0.603,1.2,1.7,0.699,1.6,2.2,3.8,0.8,0.4,0.6,0.4,1.4,4.8,-0.624114178372796
"47",26,54,32,14.5,1.6,2.9,0.571,0,0,0,1.6,2.9,0.571,0.571,1.1,1.7,0.637,1.5,3.1,4.6,0.6,0.2,0.8,0.6,1.9,4.4,-0.689576381922684
"48",30,77,70,23.2,3.7,7.7,0.479,1.3,3.3,0.401,2.4,4.4,0.539,0.566,0.9,1.2,0.761,1.6,4.1,5.8,1.9,0.7,0.7,1.1,2.6,9.6,0.161432264225855
"49",22,57,3,14.5,2.9,6.9,0.419,0.6,1.6,0.396,2.3,5.4,0.426,0.465,0.9,1.3,0.658,0.1,1.7,1.9,0.7,0.2,0.2,0.6,0.7,7.3,-0.214975406185999
"50",29,78,78,29.1,6,12.4,0.484,1.6,4.8,0.329,4.4,7.6,0.582,0.548,2.3,3,0.75,1.1,3.6,4.6,5.5,1.5,0.4,2.1,2,15.9,1.19246197013658
"51",25,27,4,16.3,1.7,3.9,0.443,0.4,1.4,0.256,1.4,2.5,0.552,0.491,0.4,0.5,0.769,1,2.7,3.6,0.5,0.3,0.3,0.4,0.7,4.2,-0.722307483697628
"52",26,70,17,27.8,5.2,12.3,0.418,1.9,5.3,0.36,3.2,7,0.462,0.496,1.9,2.3,0.827,0.6,2.9,3.5,3.8,1,0.2,1.7,2,14.1,0.89788205416209
"53",29,81,81,31.8,6.4,13,0.497,2,4.8,0.425,4.4,8.2,0.538,0.575,3,3.8,0.807,0.4,3.7,4.1,2,0.9,0,1.7,1.7,18,1.53613853877349
"54",34,11,5,12.2,1.6,3.3,0.5,0,0,0,1.6,3.3,0.5,0.5,0.3,0.3,1,1.1,3.9,5,1,0.3,0.7,0.7,2,3.5,-0.836866339909931
"55",23,44,10,14.5,1.8,3.7,0.494,0.8,2.2,0.354,1,1.5,0.697,0.599,0.3,0.6,0.481,1.1,2.7,3.8,0.9,0.4,0.9,0.8,2.3,4.7,-0.640479729260268
"56",19,22,0,5.5,0.2,1.5,0.152,0,0.4,0,0.2,1.1,0.2,0.152,0.4,0.7,0.6,0.4,0.7,1.1,0.7,0.4,0.2,0.3,0.4,0.9,-1.2623706629842
"57",22,64,64,35,9.2,19.6,0.467,2.1,6.5,0.326,7,13.1,0.536,0.521,6.1,7.1,0.866,0.6,3.5,4.1,6.8,0.9,0.2,4.1,3.1,26.6,2.94357591509608
"58",26,28,0,5.8,1.2,2.7,0.447,0.4,1.3,0.324,0.8,1.4,0.564,0.526,0.5,0.5,0.867,0.6,1.4,2,0.1,0.2,0.9,0.3,1.1,3.3,-0.869597441684875
"59",21,3,0,12,2.7,5.3,0.5,0,0,0,2.7,5.3,0.5,0.5,0.3,0.7,0.5,3,2,5,0.3,0.7,0.7,1,2,5.7,-0.476824220385549
"60",22,82,56,29.5,3,6.9,0.43,1.3,3.8,0.335,1.7,3,0.548,0.523,1.2,1.4,0.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3,-0.0513198973112798
"61",20,80,25,21.2,3,6.4,0.464,0.8,2.5,0.325,2.2,3.9,0.553,0.527,0.7,1,0.753,0.8,3.2,4,1.2,0.7,0.6,0.6,1.4,7.5,-0.182244304411055
"62",22,39,0,14.3,1.4,3.5,0.399,0.3,0.9,0.324,1.1,2.7,0.423,0.438,0.4,0.7,0.577,0.1,1.8,1.9,2.2,0.3,0.1,0.8,1.7,3.5,-0.836866339909931
"63",28,42,0,10.8,1.4,3,0.452,0.9,2.2,0.409,0.5,0.8,0.576,0.603,0.4,0.5,0.789,0.2,1.3,1.5,0.5,0.1,0.1,0.4,0.8,4,-0.755038585472571
"64",26,64,64,28.6,5.9,11.7,0.505,1.6,3.8,0.426,4.3,7.9,0.544,0.575,2.2,2.4,0.928,1,3.5,4.5,3.2,0.7,0.2,1.4,1.6,15.6,1.14336531747417
"65",23,18,0,18.3,2.7,6.8,0.402,0.8,2.2,0.375,1.9,4.6,0.415,0.463,1.2,1.7,0.733,0.5,1.2,1.7,0.9,0.6,0.2,1.1,2.8,7.5,-0.182244304411055
"66",30,29,0,13.3,2.6,5.8,0.45,0.5,1.9,0.278,2.1,4,0.53,0.494,0.8,1.1,0.697,0.4,1.1,1.6,0.9,0.3,0.1,0.7,1.1,6.6,-0.329534262398302
"67",22,74,56,19.6,1.7,4.2,0.398,0.3,1.3,0.258,1.4,3,0.457,0.436,0.6,0.8,0.75,0.6,1.9,2.5,1.2,0.5,0.5,0.6,2.4,4.3,-0.705941932810156
"68",22,74,25,25.9,5,10.7,0.465,1.3,3.7,0.344,3.7,7,0.529,0.525,1.8,2.7,0.658,0.9,3.4,4.2,1.4,0.9,0.4,1.3,2.5,13,0.717860994399899
"69",28,26,0,8.2,0.9,2.7,0.324,0.2,1.1,0.214,0.7,1.7,0.395,0.366,0.1,0.1,1,0.2,1,1.2,1.1,0.5,0.2,0.6,0.8,2.1,-1.06598405233454
"70",23,58,7,17.8,2.5,5.4,0.465,0.9,2.5,0.361,1.6,2.8,0.558,0.55,0.5,0.7,0.69,0.5,2.7,3.2,1.4,0.4,0.1,0.8,1.5,6.4,-0.362265364173246
"71",19,52,10,14,1.9,4.5,0.415,0.4,1.3,0.319,1.4,3.2,0.455,0.462,0.6,0.9,0.681,0.7,2.1,2.8,1.5,0.4,0.1,0.6,1.1,4.8,-0.624114178372796
"72",22,73,38,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2,2.3,3.2,0.5,0.1,1.2,1.7,9.3,0.112335611563439
"73",21,72,53,20.8,4.3,7,0.616,0.5,1.4,0.333,3.8,5.6,0.685,0.648,1.5,1.9,0.781,1.6,4.7,6.3,1.3,0.3,0.9,0.8,1.8,10.5,0.308722222213102
"74",25,32,0,7.5,1,2.6,0.402,0.3,0.8,0.296,0.8,1.7,0.455,0.451,0.3,0.4,0.667,0.1,0.8,0.9,0.3,0.2,0.3,0.3,1,2.6,-0.984156297897178
"75",23,34,19,23.5,2.8,6.6,0.427,1.4,3.8,0.369,1.4,2.8,0.505,0.533,1.2,1.5,0.84,1.2,3.4,4.6,1.5,0.4,1,1.1,2.4,8.3,-0.0513198973112798
"76",37,49,0,12.9,0.9,2.4,0.375,0.3,1.2,0.246,0.6,1.3,0.492,0.433,0.2,0.2,0.818,0.2,1,1.2,2.3,0.3,0.1,0.7,1.3,2.3,-1.03325295055959
"77",25,82,23,24.8,4,9.2,0.43,1.8,5.3,0.347,2.1,3.9,0.542,0.53,1.7,1.9,0.867,0.6,2.3,2.9,1.3,0.9,0.2,0.8,1.7,11.4,0.456012180200349
"78",24,67,67,33.6,7.1,10.9,0.648,0,0,0,7.1,10.9,0.648,0.648,2.5,3.9,0.636,4.4,8.2,12.7,1.4,0.7,1.5,1.4,2.5,16.6,1.30702082634889
"79",32,67,8,25.4,3.4,8.6,0.395,1.6,4.6,0.342,1.8,4,0.457,0.487,2.7,3.6,0.76,1,4.2,5.2,1.3,0.5,0.1,1.1,1.7,11.1,0.406915527537933
"80",23,39,3,14.8,1.4,4.7,0.303,0.9,2.6,0.333,0.6,2.1,0.265,0.395,0.7,0.8,0.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4,-0.689576381922684
"81",42,76,9,17.5,2.6,6.2,0.419,1.6,4.2,0.389,1,2,0.48,0.55,0.6,0.9,0.712,0.4,2.1,2.6,1.1,0.6,0.4,0.6,1.9,7.4,-0.198609855298527
"82",19,44,44,25.2,4.1,8.4,0.485,0.1,0.7,0.188,4,7.7,0.513,0.493,2,2.5,0.795,2,5,7,1.8,0.6,1.3,1.5,3.5,10.3,0.275991120438158
"83",24,25,4,21.2,3.1,6.9,0.445,1,2,0.48,2.1,4.9,0.431,0.514,2,2.6,0.797,0.8,1.9,2.7,3.1,1,0.4,1.7,2.2,9.2,0.095970060675967
"84",30,36,0,14.4,2.4,4.5,0.534,0.4,1.2,0.349,2,3.3,0.602,0.581,1.1,1.6,0.672,0.5,2.7,3.2,0.7,0.6,0.3,0.6,1,6.3,-0.378630915060718
"85",25,81,81,27.3,5.1,9.1,0.556,0,0,0.5,5.1,9.1,0.556,0.557,1.7,3.1,0.551,2.2,6.1,8.4,2.4,1.2,0.6,1,2.8,11.9,0.537839934637708
"86",23,4,0,4,1,2,0.5,0.5,0.8,0.667,0.5,1.3,0.4,0.625,0,0,0,0.3,0.5,0.8,1,0.3,0,0,0,2.5,-1.00052184878465
"87",24,11,0,3.5,0.3,0.9,0.3,0.1,0.5,0.2,0.2,0.5,0.4,0.35,0.2,0.2,1,0.3,0.5,0.7,0.1,0,0,0.1,0.3,0.8,-1.27873621387167
"88",23,1,0,8,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,0,0,0,1,0,0,0,1,2,-1.08234960322201
"89",23,7,0,4.7,0.3,1.1,0.25,0.3,0.7,0.4,0,0.4,0,0.375,0,0,0,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.9,-1.2623706629842
"90",24,51,2,12.6,1,3,0.331,0.8,2.7,0.297,0.2,0.3,0.692,0.467,0.1,0.1,1,0.5,1.8,2.3,0.4,0.4,0.5,0.1,0.9,2.9,-0.935059645234762
"91",27,60,6,16.2,2.5,6.4,0.394,1.1,3.4,0.327,1.4,3,0.47,0.48,0.6,0.6,0.892,0.2,1.3,1.5,1.6,0.4,0.1,1,1.6,6.7,-0.31316871151083
"92",26,81,0,27.3,6.5,14.6,0.448,1.8,5.5,0.324,4.8,9.1,0.524,0.509,2,2.4,0.844,1,2.3,3.3,2.4,0.7,0.2,1.7,1.4,16.8,1.33975192812383
"93",21,61,59,30,7.6,13.6,0.56,0.9,2.6,0.348,6.7,11,0.609,0.593,3.3,4.4,0.763,3.6,6.2,9.8,2,0.4,0.6,2,3.3,19.5,1.78162180208557
"94",21,77,0,17.6,2.5,5.2,0.473,0.5,1.6,0.331,1.9,3.6,0.534,0.523,1.2,1.6,0.746,1.4,2.8,4.2,0.9,0.3,0.9,1,2.3,6.6,-0.329534262398302
"95",31,76,76,28.2,4.1,8.7,0.467,1,2.6,0.407,3,6.1,0.492,0.527,2.1,2.5,0.832,0.5,2.6,3.1,6,1.4,0.1,1.6,1.8,11.2,0.423281078425405
"96",23,8,2,12.3,1.6,4.9,0.333,0.6,2.6,0.238,1,2.3,0.444,0.397,1,1.1,0.889,1,2.8,3.8,0.4,0.6,0.1,0.4,0.4,4.9,-0.607748627485324
"97",31,70,70,33.5,7,16,0.438,2.2,6.1,0.364,4.8,9.9,0.483,0.507,4.9,5.8,0.845,0.6,2.8,3.4,6.4,1.3,0.3,1.9,1.8,21.1,2.04347061628512
"98",26,61,2,20.7,2.7,5.7,0.466,1.1,3.3,0.33,1.6,2.5,0.647,0.56,0.5,0.7,0.725,1,3.2,4.2,2,0.5,0.4,0.5,1.3,6.9,-0.280437609735886
"99",25,74,10,14.3,2.8,5.9,0.465,1.1,2.7,0.405,1.7,3.2,0.515,0.557,0.3,0.4,0.769,0.3,1.8,2.1,1.6,0.3,0,0.7,1.2,6.9,-0.280437609735886
"100",28,30,30,25.7,5.9,12.4,0.48,0.9,3.2,0.274,5.1,9.2,0.551,0.515,3.5,4.8,0.736,1.4,6.8,8.2,3.6,1.3,1.5,2.4,3.6,16.3,1.25792417368647
"101",26,43,20,26.3,3.2,8.7,0.367,2.3,6,0.378,0.9,2.7,0.342,0.499,1,1.3,0.732,0.4,3.1,3.4,1.1,0.5,0.3,1.1,2.4,9.6,0.161432264225855
"102",28,75,37,20,2.1,4.8,0.442,0.8,2.5,0.324,1.3,2.3,0.569,0.526,0.7,0.9,0.7,1.2,2.3,3.5,1,0.5,0.6,0.6,2.3,5.7,-0.476824220385549
"103",38,64,0,18.9,2.7,6.8,0.397,1,3.2,0.332,1.7,3.7,0.453,0.474,1.5,1.7,0.845,0.1,1.2,1.3,3.6,0.5,0.2,1.5,1.2,7.9,-0.116782100861167
"104",28,80,11,27.1,4,10,0.399,2.2,6.5,0.331,1.8,3.4,0.527,0.508,1.8,2.5,0.721,0.8,4.1,4.8,1.7,0.8,0.4,1.1,2.1,11.9,0.537839934637708
"105",31,64,21,14.5,1.2,2.5,0.475,0.5,1,0.462,0.7,1.5,0.484,0.57,0.2,0.3,0.778,0.8,2.2,2.9,0.8,0.4,0.2,0.3,1.1,3,-0.91869409434729
